(ind,t_stamp,tr_light_id,no_of_cars
1,15:00:00,1,75
2,15:00:00,2,43
3,15:00:00,3,25
4,15:00:00,4,36
5,15:05:00,1,81
6,15:05:00,2,67
7,15:05:00,3,44
8,15:05:00,4,38
9,15:10:00,1,97
10,15:10:00,2,36
11,15:10:00,3,34
12,15:10:00,4,81
13,15:15:00,1,63
14,15:15:00,2,93
15,15:15:00,3,81
16,15:15:00,4,74
17,15:20:00,1,65
18,15:20:00,2,55
19,15:20:00,3,36
20,15:20:00,4,53
21,15:25:00,1,97
22,15:25:00,2,65
23,15:25:00,3,36
24,15:25:00,4,62
25,15:30:00,1,76
26,15:30:00,2,90
27,15:30:00,3,95
28,15:30:00,4,62
29,15:35:00,1,32
30,15:35:00,2,33
31,15:35:00,3,97
32,15:35:00,4,66
33,15:40:00,1,81
34,15:40:00,2,67
35,15:40:00,3,60
36,15:40:00,4,86
37,15:45:00,1,31
38,15:45:00,2,51
39,15:45:00,3,64
40,15:45:00,4,81
41,15:50:00,1,86
42,15:50:00,2,36
43,15:50:00,3,99
44,15:50:00,4,59
45,15:55:00,1,50
46,15:55:00,2,63
47,15:55:00,3,63
48,15:55:00,4,54
49,16:00:00,1,69
50,16:00:00,2,30
51,16:00:00,3,57
52,16:00:00,4,80
53,16:05:00,1,26
54,16:05:00,2,99
55,16:05:00,3,100
56,16:05:00,4,78
57,16:10:00,1,42
58,16:10:00,2,36
59,16:10:00,3,21
60,16:10:00,4,125
61,16:15:00,1,100
62,16:15:00,2,83
63,16:15:00,3,30
64,16:15:00,4,65
65,16:20:00,1,38
66,16:20:00,2,31
67,16:20:00,3,33
68,16:20:00,4,73
69,16:25:00,1,44
70,16:25:00,2,36
71,16:25:00,3,75
72,16:25:00,4,46
73,16:30:00,1,72
74,16:30:00,2,20
75,16:30:00,3,75
76,16:30:00,4,56
77,16:35:00,1,87
78,16:35:00,2,80
79,16:35:00,3,56
80,16:35:00,4,22
81,16:40:00,1,179
82,16:40:00,2,23
83,16:40:00,3,84
84,16:40:00,4,61
85,16:45:00,1,62
86,16:45:00,2,43
87,16:45:00,3,54
88,16:45:00,4,26
89,16:50:00,1,21
90,16:50:00,2,54
91,16:50:00,3,47
92,16:50:00,4,35
93,16:55:00,1,65
94,16:55:00,2,99
95,16:55:00,3,43
96,16:55:00,4,51
97,17:00:00,1,22
98,17:00:00,2,88
99,17:00:00,3,67
100,17:00:00,4,41
101,17:05:00,1,34
102,17:05:00,2,59
103,17:05:00,3,25
104,17:05:00,4,25
105,17:10:00,1,86
106,17:10:00,2,66
107,17:10:00,3,64
108,17:10:00,4,63
109,17:15:00,1,25
110,17:15:00,2,97
111,17:15:00,3,64
112,17:15:00,4,64
113,17:20:00,1,99
114,17:20:00,2,22
115,17:20:00,3,15
116,17:20:00,4,89
117,17:25:00,1,32
118,17:25:00,2,93
119,17:25:00,3,53
120,17:25:00,4,49
121,17:30:00,1,86
122,17:30:00,2,44
123,17:30:00,3,76
124,17:30:00,4,89
125,17:35:00,1,54
126,17:35:00,2,30
127,17:35:00,3,72
128,17:35:00,4,68
129,17:40:00,1,66
130,17:40:00,2,81
131,17:40:00,3,49
132,17:40:00,4,89
133,17:45:00,1,32
134,17:45:00,2,70
135,17:45:00,3,44
136,17:45:00,4,68
137,17:50:00,1,97
138,17:50:00,2,88
139,17:50:00,3,24
140,17:50:00,4,41
141,17:55:00,1,72
142,17:55:00,2,95
143,17:55:00,3,72
144,17:55:00,4,82
145,18:00:00,1,26
146,18:00:00,2,56
147,18:00:00,3,51
148,18:00:00,4,71
149,18:05:00,1,99
150,18:05:00,2,67
151,18:05:00,3,70
152,18:05:00,4,89
153,18:10:00,1,54
154,18:10:00,2,87
155,18:10:00,3,69
156,18:10:00,4,34
157,18:15:00,1,68
158,18:15:00,2,93
159,18:15:00,3,75
160,18:15:00,4,76
161,18:20:00,1,94
162,18:20:00,2,65
163,18:20:00,3,68
164,18:20:00,4,87
165,18:25:00,1,85
166,18:25:00,2,66
167,18:25:00,3,55
168,18:25:00,4,64
169,18:30:00,1,68
170,18:30:00,2,76
171,18:30:00,3,91
172,18:30:00,4,38
173,18:35:00,1,92
174,18:35:00,2,76
175,18:35:00,3,43
176,18:35:00,4,24
177,18:40:00,1,79
178,18:40:00,2,62
179,18:40:00,3,95
180,18:40:00,4,25
181,18:45:00,1,59
182,18:45:00,2,31
183,18:45:00,3,90
184,18:45:00,4,72
185,18:50:00,1,80
186,18:50:00,2,46
187,18:50:00,3,46
188,18:50:00,4,20
189,18:55:00,1,96
190,18:55:00,2,46
191,18:55:00,3,51
192,18:55:00,4,62
193,19:00:00,1,78
194,19:00:00,2,79
195,19:00:00,3,62
196,19:00:00,4,51
197,19:05:00,1,50
198,19:05:00,2,96
199,19:05:00,3,83
200,19:05:00,4,99
201,19:10:00,1,98
202,19:10:00,2,61
203,19:10:00,3,47
204,19:10:00,4,42
205,19:15:00,1,73
206,19:15:00,2,52
207,19:15:00,3,35
208,19:15:00,4,37
209,19:20:00,1,31
210,19:20:00,2,69
211,19:20:00,3,96
212,19:20:00,4,52
213,19:25:00,1,87
214,19:25:00,2,86
215,19:25:00,3,22
216,19:25:00,4,83
217,19:30:00,1,47
218,19:30:00,2,91
219,19:30:00,3,66
220,19:30:00,4,72
221,19:35:00,1,33
222,19:35:00,2,84
223,19:35:00,3,91
224,19:35:00,4,62
225,19:40:00,1,31
226,19:40:00,2,65
227,19:40:00,3,94
228,19:40:00,4,62
229,19:45:00,1,68
230,19:45:00,2,58
231,19:45:00,3,100
232,19:45:00,4,40
233,19:50:00,1,78
234,19:50:00,2,43
235,19:50:00,3,42
236,19:50:00,4,88
237,19:55:00,1,73
238,19:55:00,2,94
239,19:55:00,3,36
240,19:55:00,4,52
